u_id,Name,visits,downloads,owner,category,data_provided_by,keywords,description,Frequency,last_update_date_data,URL,type,public,provenance,Source,source_link,creation_date,Last Update
nnxn-434b,Seattle Police Department Beats,9886,2683,"6506 Baden, Toby",Public Safety,Seattle Police Department,"police precincts,police beats,boundaries,beats,precincts",Spatial data files of City of Seatle Police precincts and beats. Coordinate system is WGS84,Other,01/25/2018 10:19:00 PM,https://data.seattle.gov/d/nnxn-434b,dataset,True,official,,,06/22/2010 08:19:00 PM,
c3ri-wwcn,2011 Active Business License Data,3907,3857,JLCarnell,Finance,Department of Finance and Administrative Services,business license,Dataset contains active business license data for the City of Seattle for 2011.,One Time,05/11/2015 07:04:00 PM,https://data.seattle.gov/d/c3ri-wwcn,dataset,True,official,,,10/26/2011 05:47:00 PM,
hmzu-x5ed,Meals Programs in Seattle,5449,2314,Department of Human Services,Community,Human Services Department,"meal providers,human services,meals,breakfast,lunch,dinner","This data set provides the names, locations, and service days of meal programs that serve free meals to low-income and homeless people in Seattle. It also provides the kinds of meals served.",Other,02/27/2019 03:04:00 PM,https://data.seattle.gov/d/hmzu-x5ed,dataset,True,official,,http://www.seattle.gov/humanservices/,04/28/2010 10:05:00 PM,
s3q4-fh73,Youth and Family Initiative All Top Priorities,3710,2417,Office of the Mayor,Education,Mayor's Office,"youth,families,family,education,health,neighborhood,neighborhood safety,race,social justice,youth development,priorities","Results from 131 Community Caucuses, five large group workshops, the Youth Summit and via the web for Mayor Mike McGinn’s Youth and Families Initiative.",To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/s3q4-fh73,dataset,True,official,,http://mayormcginn.seattle.gov,06/04/2010 08:39:00 PM,
vsae-57cr,Bridging The Gap Accomplishments 2007 to 2011,1449,963,SDOT GIS,Transportation,Seattle Department of Transportation,archive,"In 2006, Seattle voters passed a nine-year, $365 million levy for transportation maintenance and improvements known as Bridging the Gap. The levy is complemented by a commercial parking tax. The levy funds programs to address the maintenance backlog for paving; sidewalk development and repairs; bridge repair, rehabilitation and seismic upgrades; tree pruning and planting; transit enhancements; and other much needed maintenance work. Funding also supports projects that implement the Bicycle and Pedestrian Master plans, create a Safe Routes to School Program, improve transit connections and help neighborhoods get larger projects built through the Neighborhood Street Fund large project program.",One Time,12/20/2018 12:47:00 AM,https://data.seattle.gov/d/vsae-57cr,dataset,True,official,,http://www.seattle.gov/transportation/BridgingtheGap.htm,10/18/2011 08:44:00 PM,
55z8-f4gi,2011-2012 Proposed Budget - Expenditures Allowance by Budget Control Level (BCL),2218,1981,City Budget Office,City Business,Mayor's Office,"budget,budget control level,expenditures,seattle,city of seattle,finance,budgets",Excel version of the data included in Attachment A to the Budget Adoption Ordinance.  This data reflects all appropriations (by budget control level) included in the 2011-2012 Proposed Budget.,One Time,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/55z8-f4gi,dataset,True,official,,http://www.seattle.gov/financedepartment/,10/05/2010 10:55:00 PM,
6qkn-8xvw,"PDRs Prior to using ""City of Seattle Public Records Request Center""",3272,1184,spd2internetData,Public Safety,Seattle Police Department,prior city of seattle public records request center,"PDRs Prior to using ""City of Seattle Public Records Request Center""",Daily,09/07/2016 08:15:00 AM,https://data.seattle.gov/d/6qkn-8xvw,dataset,True,official,,,09/06/2013 11:20:00 PM,
vsxr-aydq,Seattle Cultural Space Inventory,4413,3577,"Pierce, Jeffrey",Community,Office of Arts & Culture,"art,space,cultural,square,feet,theater,galley,museum,artist,organization,creative","These are the results of this ongoing inventory of cultural space in Seattle. From the largest to the smallest, The Office of Arts & Culture are counting every theater, gallery, arts office, rehearsal room, library, music club, museum, and cinema in town.",Monthly,10/08/2018 10:48:00 AM,https://data.seattle.gov/d/vsxr-aydq,dataset,True,official,,http://www.seattle.gov/arts/,04/18/2014 04:42:00 PM,
k7a5-emiw,Seattle Police Department In-Car Video Dropped Frame Report,3548,1248,spd2internetData,Public Safety,Seattle Police Department,,,Other,04/02/2019 08:15:00 PM,https://data.seattle.gov/d/k7a5-emiw,dataset,True,official,,,08/21/2014 05:08:00 PM,
j7sn-tdzk,Public Art Data,2502,3015,Seattle IT,Community,Seattle Information Technology,,,Other,04/28/2012 06:08:00 PM,https://data.seattle.gov/d/j7sn-tdzk,dataset,True,official,,,04/11/2012 06:24:00 PM,
3h7e-f49s,39th Ave NE Greenway at NE 62nd St,3377,2206,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.",Monthly,06/01/2018 08:28:00 PM,https://data.seattle.gov/d/3h7e-f49s,dataset,True,official,,,02/04/2014 04:51:00 PM,
nyj5-2t3f,2013 Technology Access and Adoption Survey – Alpha,2429,976,Seattle IT,Community,Seattle Information Technology,,"Before using this data set, refer to instructions below! 
Since 2000, the City's Information Technology Indicators project has been collecting extensive and statistically valid data on residential use of cable tv, broadband adoption and uses (including health, work, education, finance and civic engagement), barriers to broadband adoption, and customer service needs. This project is managed by our Community Technology Program with technical advice from our Citizens Telecommunications and Technology Advisory Board (CTTAB).  
INSTRUCTIONS FOR USING DATA SET
Do not pull down the data set and use it without using the code book. When you run the data set, be sure to refer to the Code Book for invalid or missing values for each question item (variables). 
You must recognize that the data here is unweighted; to replicate the figures in the City’s Information Technology Access and Adoption Report and get values that are representative of Seattle population, you should use the weights. There are 2 weighting variables, one that allows you to use the phone and online survey together (labeled ""weightfin"") and one that is for only the phone survey (labeled ""wgtphoneonly"", which excludes or zeros out everyone in the online survey).",One Time,04/25/2014 09:03:00 PM,https://data.seattle.gov/d/nyj5-2t3f,dataset,True,official,,http://www.seattle.gov/tech/indicators,04/25/2014 08:55:00 PM,
nrfc-hypb,2014 Endorsed Budget - Expenditure Allowance by Budget Control Level (BCL),1975,1779,City Budget Office,Finance,Budget Office,2014 endorsed budget,"The City of Seattle implements biennial budgeting through the sequential adoption
of two one-year budgets. When adopting the budget for the first year of the biennium, the Council endorses a budget for the second year. 

The Endorsed Budget is the basis for a Proposed Budget for the second year of the biennium, and is reviewed and adopted in the fall of the first year of the biennium.

This data reflects all appropriations (by budget control level) included in the 2014 Endorsed Budget.",One Time,06/07/2013 09:20:00 PM,https://data.seattle.gov/d/nrfc-hypb,dataset,True,official,,,06/07/2013 09:20:00 PM,
2z5v-ecg8,Burke Gilman Trail north of NE 70th St Bike and Ped Counter,3460,2430,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian",These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.,Monthly,04/02/2019 08:32:00 PM,https://data.seattle.gov/d/2z5v-ecg8,dataset,True,official,,,02/04/2014 04:15:00 PM,
j4vh-b42a,Broadway Cycle Track North Of E Union St,3050,1905,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways and cycle tracks.",Monthly,04/02/2019 08:39:00 PM,https://data.seattle.gov/d/j4vh-b42a,dataset,True,official,,,07/24/2014 05:22:00 PM,
47yq-6ugv,NW 58th St Greenway at 22nd Ave NW Bike Counter,2685,2054,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.",Monthly,04/02/2019 08:35:00 PM,https://data.seattle.gov/d/47yq-6ugv,dataset,True,official,,,02/04/2014 03:50:00 PM,
evxh-x3jp,2010 Active Business License Data,1795,2577,JLCarnell,Finance,Department of Finance and Administrative Services,"business license,zzznb",Dataset contains active business license data for the City of Seattle for 2010,One Time,10/26/2011 05:45:00 PM,https://data.seattle.gov/d/evxh-x3jp,dataset,True,official,,,10/26/2011 05:29:00 PM,
mefu-7eau,26th Ave SW Greenway at SW Oregon St,2233,1938,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.",Monthly,04/02/2019 08:34:00 PM,https://data.seattle.gov/d/mefu-7eau,dataset,True,official,,,02/04/2014 04:31:00 PM,
rqqh-kfrc,2012 Adopted Budget - Expenditure Allowance by Budget Control Level (BCL),1329,1229,Brandon Johns,Finance,Budget Office,2012 adopted budget,This data reflects all appropriations (by budget control level) included in the 2012 Adopted Budget.,One Time,02/13/2012 11:01:00 PM,https://data.seattle.gov/d/rqqh-kfrc,dataset,True,official,,http://www.seattle.gov/financedepartment/,02/13/2012 11:00:00 PM,
4qej-qvrz,Elliott Bay Trail in Myrtle Edwards Park,2526,2059,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian",These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.,Monthly,04/02/2019 08:30:00 PM,https://data.seattle.gov/d/4qej-qvrz,dataset,True,official,,,02/04/2014 04:34:00 PM,
24tp-6m99,City of Seattle Wages: Comparison by Gender - Average Hourly Wage by Age,4536,5521,Seattle IT,City Business,Mayor's Office,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",Average hourly wages for women and men sorted by age range,Other,07/16/2013 07:51:00 PM,https://data.seattle.gov/d/24tp-6m99,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-3-Final.pdf,07/16/2013 07:51:00 PM,
qmtq-5rpt,2012 Business License Data (Updated June 2013),1687,1883,JLCarnell,Finance,Department of Finance and Administrative Services,"business,business license",Dataset contains active business license data for the City of Seattle for 2012 updated in June 2013.,One Time,06/11/2013 10:32:00 PM,https://data.seattle.gov/d/qmtq-5rpt,dataset,True,official,,,06/11/2013 10:31:00 PM,
u38e-ybnc,MTS Trail west of I-90 Bridge,1891,2098,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian",These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.,Monthly,04/02/2019 08:28:00 PM,https://data.seattle.gov/d/u38e-ybnc,dataset,True,official,,,02/04/2014 04:36:00 PM,
upms-nr8w,Spokane St Bridge Counter,1859,1794,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,,"The Spokane Bridge Bicycle Counter records the number of bikes that cross the bridge using the pedestrian/bicycle pathway on the south side. Inductive loops on the pathway count the passing of bicycles with travel direction. The data consists of a date/time field, east pathway count field and west pathway count field. The count fields represent the total bicycles detected during the specified one hour period.",Monthly,04/02/2019 08:21:00 PM,https://data.seattle.gov/d/upms-nr8w,dataset,True,official,,,02/04/2014 04:57:00 PM,
8pec-7ugc,Public Outreach and Engagement Events,1218,3003,engage_dsg,Community,Mayor's Office,"engage,outreach,community,volunteer,meetings",The calendar represents opportunities to engage with City representatives in your neighborhood,To Be Determined,05/18/2016 08:31:00 AM,https://data.seattle.gov/d/8pec-7ugc,dataset,True,official,,http://www.seattle.gov/engage/access.htm,09/30/2011 09:20:00 AM,
uh8h-bme7,Chief Sealth Trail North of Thistle,1773,1859,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"seattle,bike,counts,sdot,monthly data,bicycle,pedestrian",These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.,Monthly,12/02/2015 08:26:00 PM,https://data.seattle.gov/d/uh8h-bme7,dataset,True,official,,,02/04/2014 04:28:00 PM,
pbfu-t32n,Legislation in Committee,1110,1648,Office of the City Clerk,City Business,Office of the City Clerk,,City of Seattle Legislation in Committee,Other,07/13/2012 02:48:00 PM,https://data.seattle.gov/d/pbfu-t32n,dataset,True,official,,http://clerk.seattle.gov,09/21/2011 01:56:00 PM,
ndi9-2pye,Transit communities,1358,1361,Seattle IT,Transportation,Office of Planning and Community Development,,,To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/ndi9-2pye,dataset,True,official,,,02/14/2011 07:50:00 PM,
ut5t-g95d,Ethnic Media Program,4650,2027,"Uy, Joaquin",Community,Office of Immigrants and Refugee Affairs,"ethnic media,ethnic media program,communications,immigrant,refugee,community",List of media outlets that serve immigrant and refugee communities in the Greater Seattle Metropolitan Area.,Annually,06/22/2017 09:24:00 PM,https://data.seattle.gov/d/ut5t-g95d,dataset,True,official,,http://www.seattle.gov/iandraffairs,11/10/2015 05:35:00 PM,
pr2n-4pn6,City Of Seattle Neighborhood Matching Funds,3137,2261,"Maag, Lois",Community,Department of Neighborhoods,"grants,matching funds,neighborhood,neighborhoods,maag,nre,nmf",Seattle Department Of Neighborhoods - All awarded Neighborhood Matching Funds from 1989 to present. DON,Quarterly,12/22/2018 12:48:00 AM,https://data.seattle.gov/d/pr2n-4pn6,dataset,True,official,,http://www.seattle.gov/neighborhoods/,02/18/2015 08:32:00 PM,
9689-kxj4,2011-2016 Proposed Capital Investment Program (CIP),1197,1435,City Budget Office,Finance,Budget Office,"cip,capital investment program,capital projects","2011-1016 Proposed Capital Investment Program projected expenditures by department, project, Budget Control Level (BCL), and year.",To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/9689-kxj4,dataset,True,official,,,10/08/2010 05:08:00 PM,
dyyz-c89u,Myrtle Edwards Park Temporary Bike Counter 5/10/2013 - 12/31/2013,952,1418,"Zuniga, Rafael",Transportation,Seattle Department of Transportation,"sdot,bicycle,elliott bay,myrtle edwards,seattle,bike counts",Monthly data set of our temporary bike counter on the Myrtle Edwards Park trail.,Other,01/03/2014 04:24:00 PM,https://data.seattle.gov/d/dyyz-c89u,dataset,True,official,,,07/16/2013 10:12:00 PM,
brq5-i26y,2010 Human Services Contracts with the City of Seattle,980,1864,Department of Human Services,Community,Human Services Department,"contracts,agency,human services,services,2010","This data set provides the Human Services Department division, agency, contract amounts for 2009 for agencies that contract with the City of Seattle for human services.",One Time,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/brq5-i26y,dataset,True,official,,http://www.seattle.gov/humanservices/,04/29/2010 07:39:00 PM,
9xpv-dsbc,Families & Education Levy III Expenditures,1277,1753,Office of the Mayor,Education,Mayor's Office,"families,education,family,early learning,expenditures","Families & Education Levy III		
Projected Expenditures for seven-year levy (Original Plan)		

7-year levy (2nd half of 2005 through 1st half of 2012)		
Levy programs increase 1 1/2%/year once program is fully ramped up		
Levy admin is capped at 5%/year		
Crossing Guard program expires mid-2008",To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/9xpv-dsbc,dataset,True,official,,,06/03/2010 03:47:00 PM,
pafy-bfmu,OPA Complaint Tracker,2123,1408,Seattle IT,City Business,Seattle Information Technology,opa,"Office of Professional Accountability Complaint Tracker Status.
Making the work of the OPA transparent promotes the confidence of both the public and the employees of the department. OPA provides data status of complaints filed and issues of community concern.",Other,03/29/2019 02:10:00 PM,https://data.seattle.gov/d/pafy-bfmu,dataset,True,official,,,03/25/2015 08:41:00 PM,
emai-dima,2010 Adopted Budget - Expenditures Allowance by Budget Control Level (BCL),885,1503,City Budget Office,Finance,Budget Office,"2010 adopted budget,city budget office,budget control level,expenditure,city funds","Excel version of Attachment A to Ordinance 123177, the Budget Adoption Ordinance for 2010.",To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/emai-dima,dataset,True,official,,,10/06/2010 06:52:00 PM,
23t6-xzcc,Public Information of Open Meal Sites,930,1865,Department of Human Services,Community,Human Services Department,"meal providers,human services,meals,breakfast,lunch,dinner",Public meal programs in Seattle,One Time,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/23t6-xzcc,dataset,True,official,,http://www.seattle.gov/humanservices/,04/29/2010 09:17:00 PM,
4enm-t3vn,United Way Organizations,982,8871,engage_dsg,Community,Mayor's Office,,,To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/4enm-t3vn,dataset,True,official,,,08/30/2010 04:48:00 PM,
ig47-2vs9,2011 Adopted Budget - Expenditures Allowance by Budget Control Level (BCL),818,1941,City Budget Office,Finance,Budget Office,"2011,budget,budget contol level,bcl,expenditures,budget control level,city of seattle,finance,budgets","Excel version of Attachment A to Ordinance 123442, the 2011 Budget Adoption Ordinance.",One Time,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/ig47-2vs9,dataset,True,official,,,01/28/2011 09:11:00 PM,
wj44-r6br,"PDRs After using ""City of Seattle Public Records Request Center""",4246,1147,spd2internetData,Public Safety,Seattle Police Department,,"PDRs After using ""City of Seattle Public Records Request Center""",Daily,09/01/2018 01:59:00 PM,https://data.seattle.gov/d/wj44-r6br,dataset,True,official,,,11/21/2015 12:06:00 AM,
frxe-s3us,Expenditures-dollars,1224,1302,Seattle IT,Finance,Budget Office,,Expenditures - dollars,To Be Determined,10/07/2013 06:52:00 PM,https://data.seattle.gov/d/frxe-s3us,dataset,True,official,,,09/17/2013 04:31:00 PM,
cf52-s8er,City of Seattle Wages:  Comparison by Gender - All Job Classifications,2661,10833,Seattle IT,City Business,Seattle Information Technology,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",Average pay comparison of male and female wages by job classification (except Library job classes).  The data contains weighted average hourly pay rates for women and men and the average of all employee wages in the class.,Other,07/16/2013 05:25:00 PM,https://data.seattle.gov/d/cf52-s8er,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-1-Final.pdf,07/16/2013 05:25:00 PM,
s98k-8imb,2013 Technology Access and Adoption Survey,1160,1021,Seattle IT,Community,Seattle Information Technology,,"Before using this data set, refer to instructions below! 
Since 2000, the City's Information Technology Indicators project has been collecting extensive and statistically valid data on residential use of cable tv, broadband adoption and uses (including health, work, education, finance and civic engagement), barriers to broadband adoption, and customer service needs. This project is managed by our Community Technology Program with technical advice from our Citizens Telecommunications and Technology Advisory Board (CTTAB).  
INSTRUCTIONS FOR USING DATA SET
Do not pull down the data set and use it without using the code book. When you run the data set, be sure to refer to the Code Book for invalid or missing values for each question item (variables). 
You must recognize that the data here is unweighted; to replicate the figures in the City’s Information Technology Access and Adoption Report and get values that are representative of Seattle population, you should use the weights. There are 2 weighting variables, one that allows you to use the phone and online survey together (labeled ""weightfin"") and one that is for only the phone survey (labeled ""wgtphoneonly"", which excludes or zeros out everyone in the online survey).",One Time,04/25/2014 09:34:00 PM,https://data.seattle.gov/d/s98k-8imb,dataset,True,official,,http://www.seattle.gov/tech/indicators,04/25/2014 08:34:00 PM,
6853-bgsc,Seattle Channel TV Schedule,1581,3141,Seattle IT,Community,Seattle Information Technology,"mayor,city council,cable tv,cable,government meetings","The broadcast schedule for Seattle’s municipal TV station, featuring programming for the upcoming week. See http://www.seattlechannel.org/ for more information.",Weekly,03/26/2019 09:24:00 PM,https://data.seattle.gov/d/6853-bgsc,dataset,True,official,,,08/27/2014 07:18:00 PM,
q87s-9jj6,2012 Proposed Budget - Expenditures Allowance by Budget Control Level (BCL),709,1400,City Budget Office,Finance,Budget Office,"budget,mayor mcginn,city budget office,expenditures,budget control level,spending",This data comes directly from Attachment A to the 2012 Budget Adoption Ordinance. This data reflects all appropriations (by budget control level) included in the 2012 Proposed Budget.,One Time,09/30/2011 07:10:00 PM,https://data.seattle.gov/d/q87s-9jj6,dataset,True,official,,,09/27/2011 10:24:00 PM,
vyby-j9tn,Resources,697,1402,Seattle IT,Finance,Budget Office,,Resources,One Time,11/03/2014 03:30:00 PM,https://data.seattle.gov/d/vyby-j9tn,dataset,True,official,,http://www.seattle.gov/financedepartment/,09/17/2013 04:36:00 PM,
4xmx-mnvy,COS-Statistics-Search-5000,1174,1153,"Eckstine, Nate",City Business,Seattle Information Technology,"search,cos-stats,nre,census-okfn,5000",Search terms from find.seattle.gov as reported by Google Analytics. 4xmx-mnvy,Monthly,12/21/2015 06:03:00 PM,https://data.seattle.gov/d/4xmx-mnvy,dataset,True,official,,http://www.seattle.gov/,07/08/2015 09:06:00 PM,
nznw-x77u,2014 Active Business License Data,1319,1067,FAS - Financial Services,Finance,Department of Finance and Administrative Services,business license,Dataset contains active business license data for the City of Seattle for 2014.,To Be Determined,05/15/2015 04:39:00 PM,https://data.seattle.gov/d/nznw-x77u,dataset,True,official,,,05/15/2015 04:35:00 PM,
ihj6-wg8s,Active Property Reviews,1217,1773,"Fleming, PaulJD FAS",Finance,Department of Finance and Administrative Services,,"Real Estate Services
Finance & Administrative Services Department",monthly,08/08/2018 10:41:00 PM,https://data.seattle.gov/d/ihj6-wg8s,dataset,True,official,,,12/06/2013 05:47:00 PM,
j379-aghh,City of Seattle Wages: Comparison by Gender - Average Hourly Wage by Department,1332,2087,Seattle IT,City Business,Seattle Information Technology,"wages,salary,salaries,job,classifications,government,gender,comparison by gender,gender wage study",Average hourly wages for women and men sorted by City department and age range,Other,07/16/2013 06:44:00 PM,https://data.seattle.gov/d/j379-aghh,dataset,True,official,,http://mayormcginn.wpengine.netdna-cdn.com/wp-content/uploads/2013/07/Appendix-2-Final.pdf,07/16/2013 06:44:00 PM,
vqnu-tyk4,Top Service Requests,1274,1793,"Wang, Deanna",City Business,Department of Finance and Administrative Services,"csr,top 7,srs","This dataset includes what has consistently proven to be the top seven Service Requests the City received during the last 12 months. Six are specific (non-General Inquiry) types of Service Requests (Abandoned Vehicle, Illegal Dumping Report, Pothole, Graffiti Report, Parking Enforcement and Sign and Signal Maintenance) and the seventh, CSB-General Inquiry, represents requests for a variety of services received by the Customer Service Bureau, which are then assigned to departments accordingly.",Monthly,03/05/2019 06:00:00 PM,https://data.seattle.gov/d/vqnu-tyk4,dataset,True,official,,,05/04/2015 05:12:00 PM,
vu6n-t5x5,Families & Education Levy III Estimated Revenues,779,1540,Office of the Mayor,Education,Mayor's Office,"families,education,family,early learning,revenues","Families & Education Levy III Estimated Revenues
7-year levy (2nd half of 2005 through 1st half of 2012)		
Levy programs increase 1 1/2%/year once program is fully ramped up		
Levy admin is capped at 5%/year		
Crossing Guard program expires mid-2008",To Be Determined,08/21/2011 02:48:00 AM,https://data.seattle.gov/d/vu6n-t5x5,dataset,True,official,,,06/03/2010 05:38:00 PM,
